route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
B24,TS,B24,HUAMACHUCO - MAPOCHO,,3,,ED1C24,FFFFFF
B25,TS,B25,(M) VESPUCIO NORTE - (M) CERRO BLANCO,,3,,ED1C24,FFFFFF
B26,TS,B26,EL CORTIJO - (M) ESTACION CENTRAL,,3,,ED1C24,FFFFFF
B27,TS,B27,(M) VESPUCIO NORTE - MAPOCHO,,3,,ED1C24,FFFFFF
B28,TS,B28,HUAMACHUCO - (M) QUINTA NORMAL,,3,,ED1C24,FFFFFF
B29,TS,B29,RENCA - (M) SANTA ANA,,3,,ED1C24,FFFFFF
B30N,TS,B30N,RENCA - CENTRO,,3,,ED1C24,FFFFFF
B31N,TS,B31N,ALAMEDA - QUILICURA,,3,,ED1C24,FFFFFF
C01,TS,C01,(M) FRANCISCO BILBAO - CERRO 18,,3,,ED1C24,FFFFFF
C01c,TS,C01c,(M) ESCUELA MILITAR - LA ERMITA ,,3,,ED1C24,FFFFFF
C02,TS,C02,SAN CARLOS DE APOQUINDO - (M) ESCUELA MILITAR,,3,,ED1C24,FFFFFF
C02c,TS,C02c,SAN CARLOS DE APOQUINDO - (M) LOS DOMINICOS,,3,,ED1C24,FFFFFF
C03,TS,C03,ROTONDA PEREZ ZUKJOVIC - VITAL APOQUINDO,,3,,ED1C24,FFFFFF
C03c,TS,C03c,LO GALLO - VITAL APOQUINDO,,3,,ED1C24,FFFFFF
C04,TS,C04,VITAL APOQUINDO - (M) MANUEL MONTT,,3,,ED1C24,FFFFFF
C05,TS,C05,LA ERMITA - (M) FRANCISCO BILBAO,,3,,ED1C24,FFFFFF
C06,TS,C06,VITAL APOQUINDO - (M) TOBALABA,,3,,ED1C24,FFFFFF
C07,TS,C07,LA PIRAMIDE - (M) FRANCISCO BILBAO,,3,,ED1C24,FFFFFF
C08,TS,C08,CAMINO REAL - CANTAGALLO,,3,,ED1C24,FFFFFF
C09,TS,C09,LA DEHESA - NUEVA BILBAO,,3,,ED1C24,FFFFFF
C10e,TS,C10e,(M) TOBALABA - CAMINO JUAN PABLO II,,3,,ED1C24,FFFFFF
C11,TS,C11,(M) ESCUELA MILITAR - TABANCURA,,3,,ED1C24,FFFFFF
C12,TS,C12,CAMINO JUAN PABLO II - CANTAGALLO,,3,,ED1C24,FFFFFF
C13,TS,C13,CANTAGALLO - LA LAGUNA,,3,,ED1C24,FFFFFF
C14,TS,C14,(M) ESCUELA MILITAR - LOS TRAPENSES,,3,,ED1C24,FFFFFF
C15,TS,C15,(M) ESCUELA MILITAR - ESTORIL,,3,,ED1C24,FFFFFF
C16,TS,C16,VITAL APOQUINDO - EL HUINGANAL,,3,,ED1C24,FFFFFF
C17,TS,C17,CERRO 18 - LOS TRAPENSES,,3,,ED1C24,FFFFFF
C18,TS,C18,(M) ESCUELA MILITAR - CIUDAD EMPRESARIAL,,3,,ED1C24,FFFFFF
C19,TS,C19,BERNARDO LARRAIN COTAPOS - CANTAGALLO,,3,,ED1C24,FFFFFF
C20,TS,C20,(M) ESCUELA MILITAR - PARQUE ARAUCO,,3,,ED1C24,FFFFFF
C21N,TS,C21N,EL GABINO - CANTAGALLO,,3,,ED1C24,FFFFFF
C22,TS,C22,(M) ESCUELA MILITAR - ROTONDA LO CURRO,,3,,ED1C24,FFFFFF
C23,TS,C23,LA ERMITA DE SAN ANTONIO  - LO BARNECHEA,,3,,ED1C24,FFFFFF
D01,TS,D01,PLAZA EGANA - CONSISTORIAL,,3,,F58220,000000
D02,TS,D02,(M) IRARRAZAVAL - DIAGONAL LAS TORRES,,3,,F58220,000000
D03,TS,D03,(M) TOESCA - LAS PARCELAS,,3,,F58220,000000
D05,TS,D05,(M) FRANKLIN - LAS PERDICES,,3,,F58220,000000
D06,TS,D06,(M) IRARRAZAVAL - (M) BELLAVISTA DE LA FLORIDA,,3,,F58220,000000
D07,TS,D07,DIAGONAL LAS TORRES - (M) FRANKLIN,,3,,F58220,000000
D07c,TS,D07c,DIAGONAL LAS TORRES - (M) LOS PRESIDENTES,,3,,F58220,000000
D08,TS,D08,AV. GRECIA - (M) FRANCISCO BILBAO,,3,,F58220,000000
D08c,TS,D08c,PLAZA LA REINA - (M) FRANCISCO BILBAO,,3,,F58220,000000
D09,TS,D09,DIAGONAL LAS TORRES - (M) MANUEL MONTT,,3,,F58220,000000
D10,TS,D10,(M) CARLOS VALDOVINOS - ALVARO CASANOVA,,3,,F58220,000000
D11,TS,D11,DIAGONAL LAS TORRES - MALL ALTO LAS CONDES,,3,,F58220,000000
D12,TS,D12,LAS PERDICES - (M) FRANCISCO BILBAO,,3,,F58220,000000
D13,TS,D13,(M) BELLAVISTA DE LA FLORIDA - (M) IRARRAZAVAL,,3,,F58220,000000
D14,TS,D14,(M) PEDRERO - (M) QUILIN,,3,,F58220,000000
D15,TS,D15,DIAGONAL LAS TORRES - (M) FRANCISCO BILBAO,,3,,F58220,000000
D16,TS,D16,(M) QUILIN - (M) FRANCISCO BILBAO,,3,,F58220,000000
D17,TS,D17,ALTO MACUL - (M) QUILIN,,3,,F58220,000000
D18,TS,D18,DIAGONAL LAS TORRES - (M) SANTA ISABEL,,3,,F58220,000000
D20,TS,D20,DIAGONAL LAS TORRES - AV. LAS TORRES,,3,,F58220,000000
E01,TS,E01,SAN JOSE DE LA ESTRELLA - (M) SANTA ROSA,,3,,00B33C,FFFFFF
E02,TS,E02,(M) LO OVALLE - DIEGO PORTALES,,3,,00B33C,FFFFFF
E03,TS,E03,(M) LO OVALLE  - JARDIN ALTO,,3,,00B33C,FFFFFF
E04,TS,E04,AV. LA FLORIDA - (M) FRANKLIN,,3,,00B33C,FFFFFF
E05,TS,E05,(M) LA CISTERNA  - (M) BELLAVISTA DE LA FLORIDA,,3,,00B33C,FFFFFF
E06,TS,E06,(M) BELLAVISTA DE LA FLORIDA  - MARIA ANGELICA,,3,,00B33C,FFFFFF
E07,TS,E07,(M) BELLAVISTA DE LA FLORIDA  - ROJAS MAGALLANES,,3,,00B33C,FFFFFF
E08,TS,E08,DIEGO PORTALES - (M) BELLAVISTA DE LA FLORIDA,,3,,00B33C,FFFFFF
E09,TS,E09,(M) ELISA CORREA - (M) SANTA ROSA,,3,,00B33C,FFFFFF
E10,TS,E10,EL HUALLE - SANTA ROSA P21,,3,,00B33C,FFFFFF
E11,TS,E11,DIEGO PORTALES - (M) SANTA ROSA,,3,,00B33C,FFFFFF
E12,TS,E12,SANTA ROSA P18 - MARIA ELENA,,3,,00B33C,FFFFFF
E13,TS,E13,GABRIELA - (M) BELLAVISTA DE LA FLORIDA,,3,,00B33C,FFFFFF
E14,TS,E14,SAN JOSE DE LA ESTRELLA - (M) BELLAVISTA DE LA FLORIDA,,3,,00B33C,FFFFFF
E15,TS,E15,GABRIELA - FROILAN LAGOS,,3,,00B33C,FFFFFF
E15c,TS,E15c,GABRIELA - (M) BELLAVISTA DE LA FLORIDA,,3,,00B33C,FFFFFF
E16,TS,E16,GABRIELA - (M) SANTA ROSA,,3,,00B33C,FFFFFF
E17,TS,E17,(M) BELLAVISTA DE LA FLORIDA - LAS PERDICES,,3,,00B33C,FFFFFF
E18,TS,E18,HOSPITAL PADRE HURTADO - (M) BELLAVISTA DE LA FLORIDA,,3,,00B33C,FFFFFF
F01,TS,F01,VILLA PADRE HURTADO - CASAS VIEJAS,,3,,FFD400,000000
F01c,TS,F01c,(M) PLAZA PUENTE ALTO - CASAS VIEJAS,,3,,FFD400,000000
F02,TS,F02,PIE ANDINO - SAN GERONIMO,,3,,FFD400,000000
F03,TS,F03,(M) PLAZA PUENTE ALTO - PLAZA SAN BERNARDO,,3,,FFD400,000000
F03c,TS,F03c,PIE ANDINO - VILLA LAS MAMINAS,,3,,FFD400,000000
F05,TS,F05,(M) LA CISTERNA - PIE ANDINO,,3,,FFD400,000000
F06,TS,F06,(M) LA CISTERNA - PIE ANDINO,,3,,FFD400,000000
F07,TS,F07,MALL PLAZA TOBALABA - VILLA PADRE HURTADO,,3,,FFD400,000000
F08,TS,F08,VILLA PADRE HURTADO - DIEGO PORTALES,,3,,FFD400,000000
F09,TS,F09,PIE ANDINO - (M) ELISA CORREA,,3,,FFD400,000000
F10,TS,F10,SAN GUILLERMO - MALL PLAZA TOBALABA,,3,,FFD400,000000
F11,TS,F11,LAS VIZCACHAS - PIE ANDINO,,3,,FFD400,000000
F12,TS,F12,BAJOS DE MENA - (M) PLAZA PUENTE ALTO,,3,,FFD400,000000
F12c,TS,F12c,VILLA EL NOCEDAL - (M) PLAZA PUENTE ALTO ,,3,,FFD400,000000
F13,TS,F13,BAJOS DE MENA - MALL PLAZA TOBALABA,,3,,FFD400,000000
F13c,TS,F13c,BAJOS DE MENA - (M) PLAZA PUENTE ALTO,,3,,FFD400,000000
F14,TS,F14,VILLA PADRE HURTADO - (M) PLAZA PUENTE ALTO,,3,,FFD400,000000
F15,TS,F15,BAJOS DE MENA - (M) ELISA CORREA,,3,,FFD400,000000
F16,TS,F16,VILLA PADRE HURTADO - RIVERA RIO MAIPO,,3,,FFD400,000000
F26,TS,F26,VILLA PADRE HURTADO - SAN CARLOS ORIENTE,,3,,FFD400,000000
F17,TS,F17,(M) PLAZA PUENTE ALTO - CASAS VIEJAS,,3,,FFD400,000000
F18,TS,F18,VILLA CHILOE (M) PLAZA PUENTE ALTO,,3,,FFD400,000000
F19,TS,F19,PIE ANDINO - MALL PLAZA TOBALABA,,3,,FFD400,000000
F20,TS,F20,(M) LA CISTERNA - PIE ANDINO,,3,,FFD400,000000
F21,TS,F21,PIE ANDINO - VILLA LA PRIMAVERA,,3,,FFD400,000000
F22,TS,F22,PIE ANDINO - EL TRANQUE,,3,,FFD400,000000
F23,TS,F23,VILLA PADRE HURTADO - MALL PLAZA TOBALABA,,3,,FFD400,000000
F24,TS,F24,CASAS VIEJAS -  (M) ELISA CORREA,,3,,FFD400,000000
F25,TS,F25,BAJOS DE MENA - (M) BELLAVISTA DE LA FLORIDA,,3,,FFD400,000000
F25e,TS,F25e,BAJOS DE MENA - (M) BELLAVISTA DE LA FLORIDA,,3,,FFD400,000000
F27,TS,F27,VILLA PADRE HURTADO - VILLA PORTEZUELO ORIENTE,,3,,FFD400,000000
G01,TS,G01,VILLA 4 DE SEPTIEMBRE - SANTO TOMAS,,3,,0067AC,FFFFFF
G01c,TS,G01c,VILLA 4 DE SEPTIEMBRE - SANTA ROSA P. 21,,3,,0067AC,FFFFFF
G02,TS,G02,PLAZA SAN BERNARDO - PUENTE LOS MORROS,,3,,0067AC,FFFFFF
G04,TS,G04,(M) LA CISTERNA - SANTO TOMAS,,3,,0067AC,FFFFFF
G05,TS,G05,EL CASTILLO - (M) LA CISTERNA,,3,,0067AC,FFFFFF
G07,TS,G07,SAN FRANCISCO - LO HERRERA,,3,,0067AC,FFFFFF
G08,TS,G08,POBLACION LA SELVA - (M) LA CISTERNA,,3,,0067AC,FFFFFF
G08v,TS,G08v,NOS - (M) LA CISTERNA,,3,,0067AC,FFFFFF
G09,TS,G09,PARQUE JARDIN SAN JOAQUIN - SANTA MARGARITA,,3,,0067AC,FFFFFF
G11,TS,G11,LO BLANCO - (M) LO OVALLE,,3,,0067AC,FFFFFF
G12,TS,G12,(M) LO OVALLE - CEMENTERIO METROPOLITANO,,3,,0067AC,FFFFFF
G13,TS,G13,(M) LA CISTERNA - EL CASTILLO,,3,,0067AC,FFFFFF
G14,TS,G14,LO BLANCO - POBLACION VALLE NEVADO,,3,,0067AC,FFFFFF
